date,product_name,quantity,cost_price,selling_price,payment_method,mpesa_transaction_id
2025-01-31,Shampoo,7,50.0,70.0,Cash,
2025-01-31,Toothpaste,18,15.0,25.0,Card,TXN100093
2025-02-01,Soap,13,20.0,30.0,M-Pesa,TXN100094
2025-02-01,Shampoo,8,50.0,70.0,Cash,
2025-02-01,Toothpaste,14,15.0,25.0,Card,TXN100096
2025-02-02,Soap,11,20.0,30.0,M-Pesa,TXN100097
2025-02-02,Shampoo,6,50.0,70.0,Cash,
2025-02-02,Toothpaste,13,15.0,25.0,Card,TXN100099
2025-02-03,Soap,12,20.0,30.0,M-Pesa,TXN100100
2025-02-03,Shampoo,10,50.0,70.0,Cash,
2025-02-03,Toothpaste,16,15.0,25.0,Card,TXN100102
2025-02-04,Soap,15,20.0,30.0,M-Pesa,TXN100103
2025-02-04,Shampoo,8,50.0,70.0,Cash,
2025-02-04,Toothpaste,12,15.0,25.0,Card,TXN100105
2025-02-05,Soap,14,20.0,30.0,M-Pesa,TXN100106
2025-02-05,Shampoo,9,50.0,70.0,Cash,
2025-02-05,Toothpaste,15,15.0,25.0,Card,TXN100108
2025-02-06,Soap,13,20.0,30.0,M-Pesa,TXN100109
2025-02-06,Shampoo,7,50.0,70.0,Cash,
2025-02-06,Toothpaste,11,15.0,25.0,Card,TXN100111
2025-02-07,Soap,10,20.0,30.0,M-Pesa,TXN100112
2025-02-07,Shampoo,6,50.0,70.0,Cash,
2025-02-07,Toothpaste,13,15.0,25.0,Card,TXN100114
2025-02-08,Soap,16,20.0,30.0,M-Pesa,TXN100115
2025-02-08,Shampoo,8,50.0,70.0,Cash,
2025-02-08,Toothpaste,10,15.0,25.0,Card,TXN100117
2025-02-09,Soap,18,20.0,30.0,M-Pesa,TXN100118
2025-02-09,Shampoo,9,50.0,70.0,Cash,
2025-02-09,Toothpaste,14,15.0,25.0,Card,TXN100120
2025-02-10,Soap,12,20.0,30.0,M-Pesa,TXN100121
2025-02-10,Shampoo,5,50.0,70.0,Cash,
2025-02-10,Toothpaste,17,15.0,25.0,Card,TXN100123
2025-02-11,Soap,11,20.0,30.0,M-Pesa,TXN100124
2025-02-11,Shampoo,7,50.0,70.0,Cash,
2025-02-11,Toothpaste,16,15.0,25.0,Card,TXN100126
2025-02-12,Soap,13,20.0,30.0,M-Pesa,TXN100127
2025-02-12,Shampoo,8,50.0,70.0,Cash,
2025-02-12,Toothpaste,14,15.0,25.0,Card,TXN100129
2025-02-13,Soap,15,20.0,30.0,M-Pesa,TXN100130
2025-02-13,Shampoo,9,50.0,70.0,Cash,
2025-02-13,Toothpaste,18,15.0,25.0,Card,TXN100132
2025-02-14,Soap,10,20.0,30.0,M-Pesa,TXN100133
2025-02-14,Shampoo,6,50.0,70.0,Cash,
2025-02-14,Toothpaste,13,15.0,25.0,Card,TXN100135
2025-02-15,Soap,12,20.0,30.0,M-Pesa,TXN100136
2025-02-15,Shampoo,5,50.0,70.0,Cash,
2025-02-15,Toothpaste,11,15.0,25.0,Card,TXN100138
2025-02-16,Soap,14,20.0,30.0,M-Pesa,TXN100139
2025-02-16,Shampoo,7,50.0,70.0,Cash,
2025-02-16,Toothpaste,12,15.0,25.0,Card,TXN100141
2025-02-17,Soap,11,20.0,30.0,M-Pesa,TXN100142
2025-02-17,Shampoo,8,50.0,70.0,Cash,
2025-02-17,Toothpaste,14,15.0,25.0,Card,TXN100144
2025-02-18,Soap,13,20.0,30.0,M-Pesa,TXN100145
2025-02-18,Shampoo,6,50.0,70.0,Cash,
2025-02-18,Toothpaste,10,15.0,25.0,Card,TXN100147
2025-02-19,Soap,15,20.0,30.0,M-Pesa,TXN100148
2025-02-19,Shampoo,9,50.0,70.0,Cash,
2025-02-19,Toothpaste,16,15.0,25.0,Card,TXN100150
2025-02-20,Soap,12,20.0,30.0,M-Pesa,TXN100151
2025-02-20,Shampoo,5,50.0,70.0,Cash,
2025-02-20,Toothpaste,13,15.0,25.0,Card,TXN100153
2025-02-21,Soap,10,20.0,30.0,M-Pesa,TXN100154
2025-02-21,Shampoo,7,50.0,70.0,Cash,
2025-02-21,Toothpaste,14,15.0,25.0,Card,TXN100156
2025-02-22,Soap,14,20.0,30.0,M-Pesa,TXN100157
2025-02-22,Shampoo,8,50.0,70.0,Cash,
2025-02-22,Toothpaste,12,15.0,25.0,Card,TXN100159
2025-02-23,Soap,13,20.0,30.0,M-Pesa,TXN100160
2025-02-23,Shampoo,9,50.0,70.0,Cash,
2025-02-23,Toothpaste,15,15.0,25.0,Card,TXN100162
2025-02-24,Soap,11,20.0,30.0,M-Pesa,TXN100163
2025-02-24,Shampoo,6,50.0,70.0,Cash,
2025-02-24,Toothpaste,17,15.0,25.0,Card,TXN100165
2025-02-25,Soap,16,20.0,30.0,M-Pesa,TXN100166
2025-02-25,Shampoo,8,50.0,70.0,Cash,
2025-02-25,Toothpaste,14,15.0,25.0,Card,TXN100168
2025-02-26,Soap,15,20.0,30.0,M-Pesa,TXN100169
2025-02-26,Shampoo,7,50.0,70.0,Cash,
2025-02-26,Toothpaste,13,15.0,25.0,Card,TXN100171
2025-02-27,Soap,12,20.0,30.0,M-Pesa,TXN100172
2025-02-27,Shampoo,5,50.0,70.0,Cash,
2025-02-27,Toothpaste,11,15.0,25.0,Card,TXN100174
2025-02-28,Soap,14,20.0,30.0,M-Pesa,TXN100175
2025-02-28,Shampoo,9,50.0,70.0,Cash,
2025-02-28,Toothpaste,16,15.0,25.0,Card,TXN100177
2025-03-01,Soap,13,20.0,30.0,M-Pesa,TXN100178
2025-03-01,Shampoo,6,50.0,70.0,Cash,
2025-03-01,Toothpaste,18,15.0,25.0,Card,TXN100180
2025-03-02,Soap,15,20.0,30.0,M-Pesa,TXN100181
2025-03-02,Shampoo,7,50.0,70.0,Cash,
2025-03-02,Toothpaste,14,15.0,25.0,Card,TXN100183
2025-03-03,Soap,11,20.0,30.0,M-Pesa,TXN100184
2025-03-03,Shampoo,8,50.0,70.0,Cash,
2025-03-03,Toothpaste,12,15.0,25.0,Card,TXN100186
2025-03-04,Soap,10,20.0,30.0,M-Pesa,TXN100187
2025-03-04,Shampoo,5,50.0,70.0,Cash,
2025-03-04,Toothpaste,13,15.0,25.0,Card,TXN100189
2025-03-05,Soap,14,20.0,30.0,M-Pesa,TXN100190
2025-03-05,Shampoo,9,50.0,70.0,Cash,
2025-03-05,Toothpaste,17,15.0,25.0,Card,TXN100192
2025-03-06,Soap,16,20.0,30.0,M-Pesa,TXN100193
2025-03-06,Shampoo,8,50.0,70.0,Cash,
2025-03-06,Toothpaste,15,15.0,25.0,Card,TXN100195
2025-03-07,Soap,12,20.0,30.0,M-Pesa,TXN100196
2025-03-07,Shampoo,6,50.0,70.0,Cash,
2025-03-07,Toothpaste,14,15.0,25.0,Card,TXN100198
2025-03-08,Soap,13,20.0,30.0,M-Pesa,TXN100199
2025-03-08,Shampoo,7,50.0,70.0,Cash,
2025-03-08,Toothpaste,18,15.0,25.0,Card,TXN100201
2025-03-09,Soap,15,20.0,30.0,M-Pesa,TXN100202
2025-03-09,Shampoo,9,50.0,70.0,Cash,
2025-03-09,Toothpaste,16,15.0,25.0,Card,TXN100204
